averagerank.wholebrain,finalrank.wholebrain,finalrank.wholebrain.zscore,averagerank.hemisphere,finalrank.hemisphere
18514.55,10192,-1.13781125139433,9155.25,4882
19283.55,11139,-1.08259552692942,9584.05,5446
23950.75,18556,-0.650140375550102,11920.6,9318
24939.15,20178,-0.555568142094897,12384.9,10066
24191.8,18950,-0.627167835487617,11972.15,9404.5
21990.1,15183,-0.846806308623102,10823.95,7388
15120.25,5869,-1.38986782674997,7573.9,2919
16185.9,7215,-1.31138803252635,8106.65,3604
16012.1,6990,-1.32450686885645,8036.25,3517
16370,7415,-1.29972684467738,8216.35,3735
16699.4,7804,-1.27704583431112,8385.85,3926
19699.55,11718,-1.04883638810663,9769.75,5721
19242.35,11088,-1.08556912983091,9697.2,5608
25356.75,20865,-0.51551196183366,12587.6,10405
25923.5,21739,-0.46455257093363,12848.85,10836
25358,20866,-0.515453655894415,12525.65,10293
16256.8,7287,-1.30719000490072,8152.75,3656
16490.85,7553,-1.29168062506158,8288.3,3816
16672.5,7772,-1.27891162436695,8370.65,3902
17010.3,8179,-1.25518110709428,8548.25,4104
17688.8,9038.5,-1.2050671523133,8895.45,4521
21083.7,13741,-0.930883473014228,10481.1,6853
23580.35,17973,-0.68413273812987,11830.65,9165
26308.45,22363,-0.428169664844821,13025.6,11102
26710.4,23065,-0.387238895494911,13215.55,11379
16460.4,7525,-1.29331319136044,8282.35,3807
