G1.fMRI,T1T2ratio,Evolution.Expansion,CBF,AllometricScaling.PNC20mm,PET.AG,Externopyramidisation,Cortical.Thickness,PC1.AHBA,PC1.Neurosynth
-5.048582659,1.388200479,0.598519525,56.59349116,1.084730503,-0.374806595,0.203668885,2.840295234,-0.314698219,-32.72405111
-4.399528476,1.384312302,-0.378514823,51.58190979,1.059765799,-0.234063852,0.143979128,2.576788879,-6.712660481,-25.14738649
-3.611160176,1.352271917,0.607215971,67.86904461,1.124874449,-0.234673338,0.400898352,2.315529002,8.927245031,-16.90169086
-4.164934427,1.491802314,0.661123108,63.58941529,1.188714495,-0.207311391,0.188087421,2.399823028,-3.853519116,-31.10541598
-3.911876509,1.353567114,1.068225369,61.83235727,1.248686028,-0.219351876,0.170077027,2.635277367,0,-34.08867186
-3.390209756,1.204211979,0.26811286,58.33597971,1.035802527,-0.804248196,0.122523675,3.186109537,12.58438605,-17.57072187
-3.261084075,1.241538011,0.917056067,65.91201498,0.91871798,-0.713185647,0.326680608,2.8479319,8.311255138,-12.9142929
-1.606406378,1.195208965,0.748698075,62.1903077,0.848687209,-0.022885256,0.191069222,2.877854036,4.928476122,-19.05877742
-1.423858231,1.131935712,0.682576085,68.87010595,0.976222846,-0.195957188,0.181327053,3.197584767,11.9482365,-17.57072187
-1.948781804,1.338153565,-0.7317833,50.62750266,0.811133669,-0.986674972,0.291657379,2.976318294,13.7770463,13.25001158
1.761330099,1.241454364,1.026222857,66.22986704,0.981710993,0.207243162,0.215087884,2.920858605,4.211544591,-5.569497168
1.845114293,1.139097341,-0.091506554,62.53189905,0.757930813,-0.625654607,0.262094142,3.50028803,17.64887705,3.284107125
-3.200791201,1.23474977,0.125880735,68.2022629,0.808827451,-0.404901524,0.237883802,2.840494409,4.317659589,-32.72405111
-3.065202763,1.197741751,0.562948475,53.5509809,1.078002404,-0.236079223,0.16936966,2.658979455,8.57464494,-17.57072187
-4.578192727,1.253791805,-0.099836038,48.48787557,1.014354537,-0.52718754,0.179504658,2.661046286,6.710210283,-25.14738649
-3.472942115,1.279420188,1.441313293,56.65288827,1.195283534,-0.16845039,0.324684731,2.427631752,-1.685201045,-33.22191056
-2.107337847,1.346473015,1.590238017,60.70235793,1.167035672,-0.03051478,0.177133705,2.304232123,-4.723286848,-26.10286546
3.019885616,1.351163636,-0.268066019,34.39474196,0.789841575,-0.304348623,0.261666147,2.78960777,12.24699083,34.71960033
0.233993838,1.683598579,-1.613936875,52.44214655,0.714608803,-0.536345251,0.246324009,2.049642716,8.969873508,34.17564491
0.335829962,1.082641312,-1.317298779,47.10517052,0.790415654,-0.255491071,0.274337136,2.588391016,7.052583787,37.70019495
-3.588130185,1.378741358,-1.097784309,47.44688839,0.91040728,-0.482427578,0.146290737,2.174790324,1.387715347,19.42725657
0.018441169,1.142642046,0.207702221,10.29175525,0.818361097,-0.325818285,0.30914287,3.230443815,14.82120267,30.65109486
1.253940978,1.117855911,0.739506038,59.28514839,0.881918795,-0.465359807,0.273833236,3.299857104,10.508686,10.43580661
-3.506961968,1.49085344,1.119681928,70.04076551,0.889934982,-0.457227992,0.292880669,2.666773252,-5.648011212,-1.550323204
-2.095631195,1.311737442,1.310704514,71.75998138,0.819003357,-0.429129169,0.266595552,3.006775417,1.4438691,10.43580661
